ProteomeNumber  mcrAMatches  hsp70Matches
50               1            3
50               1            3
50               1            3
45               1            3
45               1            3
45               1            3
42               1            3
42               1            3
42               1            3
3                1            3
3                1            3
3                1            3
7                1            2
7                1            2
7                1            2
5                1            2
5                1            2
5                1            2
24               1            2
24               1            2
24               1            2
23               2            2
23               2            2
23               2            2
48               1            1
48               1            1
48               1            1
44               1            1
44               1            1
44               1            1
39               1            1
39               1            1
39               1            1
38               1            1
38               1            1
38               1            1
29               1            1
29               1            1
29               1            1
19               2            1
19               2            1
19               2            1
16               1            1
16               1            1
16               1            1
15               1            1
15               1            1
15               1            1
ProteomeNumber  mcrAMatches  hsp70Matches
