Proteome Number   mcrA Matches   hsp70 Matches
1                 0              4
2                 0              2
3                 1              3
4                 0              4
5                 1              2
6                 0              0
7                 1              2
8                 0              5
9                 0              2
10                0              3
11                0              6
12                0              6
13                0              3
14                0              1
15                1              1
16                1              1
17                0              3
18                0              8
19                2              1
20                0              3
21                0              5
22                0              8
23                2              2
24                1              2
25                0              5
26                0              1
27                0              1
28                0              1
29                1              1
30                0              1
31                0              7
32                0              4
33                0              0
34                0              1
35                0              1
36                0              3
37                0              2
38                1              1
39                1              1
40                0              2
41                0              2
42                1              3
43                0              3
44                1              1
45                1              3
46                0              2
47                0              2
48                1              1
49                0              3
50                1              3
